Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.778313;30.689653
ГБОУ ДОД «Центр Физкультура и Здоровье», спортивный комплекс «Кристалл»;каток;Красногвардейский;день;закрытый;0;1;1;0;0;59.976963;30.425543
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.947982;30.473918
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.928054;30.425975
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.976855;30.422345
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.961724;30.432353
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;59.95835;30.421914
ГБОУ ДОД «Центр Физкультура и Здоровье»;каток;Красногвардейский;день;открытый;0;1;0;0;0;60.028375;30.454703
"ГБОУ ДОД ""Центр Физкультура и Здоровье""";лыжная трасса;Красногвардейский;день;открытый;0;0;0;0;0;59.96017;30.46259
"ГБОУ ДОД ""Центр Физкультура и Здоровье""";лыжная трасса;Красногвардейский;день;открытый;0;0;0;0;0;59.965048;30.419866
Государственное бюджетное учреждение спортивная школа Красногвардейского района Санкт-Петербурга;лыжная трасса;Красногвардейский;день/ночь;открытый;0;0;0;0;0;60.001226;30.141577
СПб ГБУ «Подростково-молодежный центр «Охта»;каток;Красногвардейский;день;открытый;0;0;0;0;0;59.969758;30.424618
"СПб ГАО ""Дирекция по управлению спортивными сооружениями""";каток;Красногвардейский;день;закрытый;0;0;0;0;0;59.944539;30.459078
"СК ""Красная Звезда""";каток;Красногвардейский;день;закрытый;1;1;1;1;1;59.9588;30.474933
"Всесезонная ледовая арена Go Ice (ИП ""Подстрешный Л.С"")";каток;Красногвардейский;день;закрытый;1;1;1;1;1;59.936692;30.430736
"Ледовая арена ""Трудовые резервы""";каток;Красногвардейский;день;закрытый;1;1;1;1;0;59.937716;30.433026
Федерация керлинга Санкт-Петербурга;каток;Красногвардейский;день;закрытый;1;1;1;1;0;59.961629;30.484742
