Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
7.012,"СПб ГАО ""Дирекция по управлению спортивными сооружениями""","Хоккей, катание на коньках",Каток,"ул. Передовиков, д. 14, к. 2",,"59.944539,30.459078","Остановка ""Улица Передовиков""",Красногвардейский,416-44-94,Http://directory.spb.ru/arena/,Работающий,06:45-23:00 ВС: 09:00-22:00,День,Крытый,Платно,Доступно,False,False,False,False,False,,Имеется
7.013,"СК ""Красная Звезда""",Хоккейный клуб,Каток,"Ириновский проспект, дом 24, корпус 1",,"59.9588,30.474933","Остановка ""Ириновский проспект""",Красногвардейский,+7 (812) 909-40-09,Http://redstars-spb.ru/kontakty/,Работающий,7:30-00:00,День,Крытый,Платно,Доступно,True,True,True,True,True,,Имеется
7.014,"Всесезонная ледовая арена Go Ice (ИП ""Подстрешный Л.С"")","Хоккей, катание на льду",Каток,"Магнитогорская, д. 51, лит. Ф",,"59.936692,30.430736",Ладожская,Красногвардейский,+7 (931) 103 26 26,Http://goice.ru/,Работающий,06:45-22:45,День,Крытый,Платно,Доступно,True,True,True,True,True,,Имеется
7.015,"Ледовая арена ""Трудовые резервы""","Хоккей, катание на коньках",Каток,"ул. Магнитогорская, д. 51, лит. В",,"59.937716,30.433026",Ладожская,Красногвардейский,+7 (911) 729-34-40,Https://vk.com/wall-121954568,Работающий,07:00-23:00,День,Крытый,Платно,Доступно,True,True,True,True,False,,Имеется
7.016,Федерация керлинга Санкт-Петербурга,Керлинг,Каток,"пр. Ириновский, д. 40",,"59.961629,30.484742",Ладожская,Красногвардейский,+7 (921) 752-29-52,Https://vk.com/curlingspb,Работающий,08:00-22:00,День,Крытый,Платно,Доступно,True,True,True,True,False,,Имеется
7.017,ГБОУ ДОД «Центр Физкультура и Здоровье»,"Хоккей, катание на коньках",Каток,"пр. Шаумяна, д. 69",Между домами пр. Шаумяна д.69 и пр. Шаумяна д.73,"59.923924,30.42369",Остановка «Казанская улица»,Красногвардейский,386-40-48,Https://vk.com/c_fiz,Работает,08.00-22.00,День,Открытый,Бесплатно,Доступно,False,True,False,False,False,,Имеется
7.018,Большой зимний каток у Охта Молла,Открытый каток,Каток,"Брантовская дорога, д. 3","Брантовская дорога, д. 3 у ТЦ «Охта Молл»","59.94123432964758,30.417191013693817",Остановка: ТРЦ Охта Молл,Красногвардейский,+7 (812) 383-70-20,Https://afisha.yandex.ru/saint-petersburg/rinks/katok-v-okhta-moll,Работает,10:00-22:30,День,Открытый,Платно,Доступен,True,False,True,True,True,-,Имеется
9.001,СПБ ГБУ «Кронштадтский ОСЦ»,"Хоккей, катание на коньках",Каток,"СПб, г.Кронштадт, Тулонская аллея, д.11",,"59.98545671721552,29.79961321389528","М.Беговая,Кронштадт, Ленинградская пристань",Кронштадтский,(812)311-43-82,Https://vk.com/club92629972,Неработающий,Пятница с 14:00 до 22.00. Суббота-воскресенье с 11:00 до 22:00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, тотальная слепота, поражение нижних конечностей, поражение верхних конечностей, передвижение на кресле-коляске, интеллектуальные нарушения",True,False,True,False,False,,Имеется
9.002,СПБ ГБУ «Кронштадтский ОСЦ»,Передвижение на лыжах,Лыжная трасса,"СПб, г.Кронштадт, Тулонская аллея, д.11",,"59.98545671721552,29.79961321389528","М.Беговая,Кронштадт, Ленинградская пристань",Кронштадтский,(812)311-43-82,Https://vk.com/club92629972,Работающий,Ежедневно с 07:00 до 22:00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, тотальная слепота, поражение нижних конечностей, поражение верхних конечностей, передвижение на кресле-коляске, интеллектуальные нарушения",True,True,True,False,False,,Имеется
9.003,"СПб ГБУ ""Кронштадтский ОСЦ""","Хоккей, катание на коньках",Каток,"СПб, г.Кронштадт, ул.Станюковича, д.6",,"60.00968215044056,29.721402085060838","М.Беговая,Кронштадт, Остановка городского автобуса №2,3 ""Цитадельское шоссе""",Кронштадтский,8 (812) 311 94 46,Https://vk.com/club92629972,Неработающий,8.00-22.00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, интеллектуальные нарушения",False,True,False,False,False,,Имеется
9.004,"СПб ГБУ ""Кронштадтский ОСЦ""","Хоккей, катание на коньках",Каток,"СПб, г.Кронштадт, ул.Зосимова, д.9",,"59.99772247781833,29.759086642730814","М.Беговая,Кронштадт, остановка городского автобуса №1 ""Детская поликлиника""",Кронштадтский,8 (812) 311 94 46,Https://vk.com/club92629972,Неработающий,8.00-22.00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, интеллектуальные нарушения",False,True,False,False,False,,Имеется
9.005,"СПб ГБУ ""Кронштадтский ОСЦ""","Хоккей, катание на коньках",Каток,"СПб, г.Кронштадт, ул.Советская, д.15",,"59.99298956202367,29.782176100401074","М.Беговая,Кронштадт, остановка городского автобуса №1,2 «Якорная площадь»",Кронштадтский,8 (812) 311 94 46,Https://vk.com/club92629972,Неработающий,8.00-22.00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, интеллектуальные нарушения",False,False,False,False,False,,Внтридворовое освещение
9.006,"СПб ГБУ ""Кронштадтский ОСЦ""","Хоккей, катание на коньках",Каток,"СПб, г.Кронштадт, ул.Красная, д.8",,"59.988826239162776,29.77418098321382","М.Беговая,Кронштадт, остановка городского автобуса №1,3 ""Летний сад""",Кронштадтский,8 (812) 311 94 46,Https://vk.com/club92629972,Неработающий,8.00-22.00,День,Открытый,Бесплатно,"Нарушение слуха, нарушение зрения, интеллектуальные нарушения",False,True,False,False,False,,Внутридворовое освещение
10.01,"АО «Концерн «Морское подводное оружие-Гидроприбор», База отдыха Прибой, ГКУ «Дирекция особо охраняемых природных территорий Санкт-Петербурга",лыжные гонки,лыжная трасса,"Зеленогорск, пр. Ленина, д.63а",Государственный природный заказник регионального значения «Озеро Щучье»,"60.208819,29.720182","ст. м. Удельная, Озерки, пр.Просвещения, г. Зеленогорск, ж/д вокзал",Курортный,952-74-90,https://bazapriboyzel.vsite.biz/#home,Работа объекта приостановлена до ноября 2024 г,пн-вт выходной ср-пт с 10-00 до 18-40 сб-вс с 9-30 до 18-40,день,открытый,бесплатно,нет. нарушение слуха. нарушение зрения. тотальная слепота. поражение нижних конечностей. поражение верхних конечностей. передвижение на кресле-коляске. интеллектуальные нарушения,True,False,True,False,False,Прокат лыж,нет
10.02,Государственное бюджетное учреждение спортивная школа олимпийского резерва Курортного района Санкт-Петербурга,лыжные гонки,лыжная трасса,"Зеленогорск, ул. Объездная, д. 7",Территория ГБУ СШОР Курортного района Санкт-Петербурга,"60.195984,29.717322","ст. м. Удельная, Озерки, пр.Просвещения, г. Зеленогорск, ж/д вокзал",Курортный,777-15-10,http://zel-sportshkola.ru/,Работа объекта приостановлена до ноября 2024 г,08.00 - 20.00,день,открытый,бесплатно,да,False,False,True,True,False,нет,да
10.03,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Зеленогорский парк культуры и отдыха""",Катание на коньках,каток,"Зеленогорск, Приморское ш.,          д .536, лит. А",Территория парка,"60.19207884111467,29.69896048852033","ст. м. Удельная, Озерки, пр.Просвещения, г. Зеленогорск, ж/д вокзал",Курортный,(812)433-31-05,zpkio.ru. vk.com/zpkio,Работа объекта приостановлена до ноября 2024 г,12:20 - 20:00,день,открытый,платно,нет,True,False,True,False,False,прокат коньков,да
10.04,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки"" (Большой ледовый каток)",Катание на коньках,Каток,"Сестрорецк, Дубковское шоссе 44, лит А",Территория парка,"60.091931,29.941715","ст. м. Беговая, ж/д Сестрорецк, остановка автобуса Детский сад",Курортный,(812) 907-56-79,https://parkdubki.ru/%d1%81%d0%bf%d0%be%d1%80%d1%82/%d1%81%d0%bf%d0%be%d1%80%d1%82%d0%b8%d0%b2%d0%bd%d1%8b%d0%b5-%d0%be%d0%b1%d1%8a%d0%b5%d0%ba%d1%82%d1%8b/%d1%85%d0%be%d0%ba%d0%ba%d0%b5%d0%b9%d0%bd%d0%b0%d1%8f-%d0%ba%d0%be%d1%80%d0%be%d0%b1%d0%ba%d0%b0/,Работа объекта приостановлена до ноября 2024 г,09:00 - 22:00,день,открытый,платно,"Нарушение слуха, поражение верхних конечностей",True,True,True,True,False,"Клюшки, шайбы, коньки",да
10.05,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки"" (Хоккейная коробка)","Хоккей, катание на коньках",Каток,"Сестрорецк, Дубковское шоссе 44",Территория парка,"60.091331,29.94193","ст. м. Беговая, ж/д станция Сестрорецк, остановка автобуса Детский сад",Курортный,(812) 907-56-79,https://parkdubki.ru/%d1%81%d0%bf%d0%be%d1%80%d1%82/%d1%81%d0%bf%d0%be%d1%80%d1%82%d0%b8%d0%b2%d0%bd%d1%8b%d0%b5-%d0%be%d0%b1%d1%8a%d0%b5%d0%ba%d1%82%d1%8b/%d0%b1%d0%be%d0%bb%d1%8c%d1%88%d0%be%d0%b9-%d0%bb%d0%b5%d0%b4%d0%be%d0%b2%d1%8b%d0%b9-%d0%ba%d0%b0%,Работа объекта приостановлена до ноября 2024 г,11:00-22:00,день,открытый,платно,"Нарушение слуха, поражение верхних конечностей",True,True,True,True,False,"Коньки, заточка коньков",да
10.06,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки""",физкультурно-оздоровительные занятия,лыжная трасса,"Сестрорецк,  Дубковское ш., д. 44 , литера И",территория парка,"60.088908,29.933647","ст. м. Беговая, ж/д Сестрорецк, остановка автобуса Детский сад",Курортный,(921) 415-46-13,https://parkdubki.ru/%d1%80%d0%b0%d0%b7%d0%b2%d0%bb%d0%b5%d1%87%d0%b5%d0%bd%d0%b8%d1%8f/%d0%bb%d1%8b%d0%b6%d0%bd%d1%8b%d0%b5-%d1%82%d1%80%d0%b0%d1%81%d1%81%d1%8b/,Работа объекта приостановлена до ноября 2024 г,В сводобном доступе,день/ночь,открытый,бесплатно,"Нарушение слуха, поражение верхних конечностей",True,True,True,True,False,"Лыжи, подготовка лыж, тюбинк, финские сани",да
10.07,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Парк культуры и отдыха ""Дубки""",физкультурно-оздоровительные занятия,лыжная трасса,". Сестрорецк,  Дубковское ш., д. 44, литера И","Территория пляжа ""Дубковский""","60.09368,29.93904","ст.м.Беговая, ж/д Сестрорецк, остановка автобуса ""Детский сад""",Курортный,(921) 415-46-13,https://parkdubki.ru/%d1%80%d0%b0%d0%b7%d0%b2%d0%bb%d0%b5%d1%87%d0%b5%d0%bd%d0%b8%d1%8f/%d0%bb%d1%8b%d0%b6%d0%bd%d1%8b%d0%b5-%d1%82%d1%80%d0%b0%d1%81%d1%81%d1%8b/,Работа объекта приостановлена до ноября 2024 г,В сводобном доступе,день/ночь,открытый,бесплатно,"Нарушение слуха, поражение верхних конечностей",True,True,True,True,False,"Лыжи, подготовка лыж, тюбинк, финские сани",нет
10.08,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",Катание на коньках,Каток,Сестрорецк,"пляж ""Северный"", д.3","60.105669,29.977545","ст.м. Беговая, остановка автобуса Улица Борисова",Курортный,8 (812) 644-80-35,https://cfksz.kurort.gov.spb.ru https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытый,бесплатно,нет,False,False,False,False,False,нет,нет
10.09,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",Катание на коньках,Каток,"Сестрорецк, наб.  реки Сестры, д.12",,"60.09903,29.968139","ст.м. Беговая, остановка автобуса ""школа 541""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,работает,с 7-00 до 23-00,день,закрытый,платно,да,True,True,True,False,False,прокат коньков,да
10.10,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",Катание на коньках,Каток,"Сестрорецк, ул.Токарева","участок 1(восточнее д.15, лит.А)","60.091588,29.957216","ст.м. Беговая, остановка автобуса ""Детский сад""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытый,бесплатно,нет,False,False,False,False,False,нет,да
10.11,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физкультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,"пляж ""Северный"", д.3","60.105499,29.977037","ст.м. Беговая, остановка автобуса ""Улица Борисова""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.12,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физкультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,"пляж ""Северный"", д.3","60.105499,29.977037","ст.м. Беговая, остановка автобуса ""Улица Борисова""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.13,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физкультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,"пляж ""Северный"", д.3","60.105499,29.977037","ст.м. Беговая, остановка автобуса ""Улица Борисова""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.14,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физкультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,Тарховский лесопарк,"60.068242,29.960314","ст.м. Беговая, остановка автобуса ""Дорога к шалашу В.И.Ленина""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.15,СПб ГБУ «ЦФКС и З Курортного района Санкт-Петербурга»,катание на коньках,Каток,"Песочный, ул.Ленинградская, д. 70,","к.1, лит Ауч.1 западнее д.70, кор.1А","60.118277,30.185007","Озерки, Проспект Просвещения, ж/д Песочнная, остановка автобуса Ленинградская улица, 70",Курортный,8 (812) 644-80-35,https://cfksz.kurort.gov.spb.ru https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытый,бесплатно,нет,False,False,False,False,False,нет,внутридворовое освещение
10.16,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,"Песочный,","Американские горки, территория лесничества за ж/д переездом у станции ""Песочная""","60.117339,30.151754","ст.м. Озерки, Удельная, Проспект Просвещения, ж/д ""Песочная""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.17,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,Песочный,Ленинская тропа,"60.12327,30.114337","ст.м. Озерки, Удельная, Проспект Просвещения, ж/д ""Дибуны""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.18,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,"станция ""Разлив"", пляж ""Белая гора""","60.086804,29.970415","сст.м. Беговая, ж/д Разлив, остановка автобуса ""Разлив""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.19,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,Комарово,дорога к Щучьему озеру,"60.211047,29.790783","ст.м. Беговая, Финляндский вокзал, ж/д Комарово,автобусная остановка ""Морская улица""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.20,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,"Сестрорецк, пляж","""Дубковский"" - пляж ""Ласковый"" , береговая линия","60.094372,29.939667","ст.м. Беговая, автобусная остановка ""Детский сад"", автобусная остановка ""Солнечное, Вокзальная улица""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытая,бесплатно,нет,False,False,False,False,False,нет,нет
10.21,"Санкт-Петербургское государственное бюджетное учреждение ""ЦФКС и З Курортного района Санкт-Петербурга""",физекультурно-оздоровительные занятия,Лыжная трасса,Сестрорецк,"байк-парк ""Дюны""","60.117163,29.966075","ст.м. Беговая, автобусная остановка ""Дюны""",Курортный,8 (812) 644-80-35,cfksz.kurort.gov.spb.ru . https://vk.com/cfksizkurort,Работа объекта приостановлена до ноября 2024 г,с 9-00 до 23-00,день,открытый,бесплатно,нет,False,False,False,False,False,нет,нет
10.22,Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»,"Горные лыжи, сноуборд",Горнолыжный склон,Зеленогорск,"Курорт ""Пухтолово гора""","60.232162,29.683729","ст.м. Черная речка, пр.Просвещения, Парнас, г. Зеленогорск жд вокзал, п. Решетниково, автобусная остановка ""Пухтолова гора""",Курортный,8 (812) 715-06-00,www.puhgora.spb.ru,работает,"Пн,Вт - выходной, Ср,Чт - с 15:00 до 21:00,Пт - с 15:00 до 22:00, Сб - с 10:00 до 22:00, Вс- с 10:00 до 21:00",день,открытый,платно,Нарушение слуха Нарушение зрения Тотальная слепота Поражение верхних конечностей Интеллектуальные нарушения,True,True,True,True,True,прокат инвентаря,да
10.23,Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»,"Горные лыжи, сноуборд",Горнолыжный склон,Зеленогорск,"Курорт ""Пухтолово гора""","60.232162,29.683729","Черная речка, пр.Просвещения, Парнас",Курортный,8 (812) 715-06-00,https://www.puhgora.spb.ru/ https://www.instagram.com/puhtolova.gora/,работает,выходные и праздничные дни,день,открытый,платно,Нарушение слуха Нарушение зрения Тотальная слепота Поражение верхних конечностей Интеллектуальные нарушения,True,True,True,True,True,прокат инвентаря,да
10.24,Санкт-Петербургское региональное общественное учреждение «Спортивный клуб «Пухтолова гора»,катание на коньках,Каток,Зеленогорск,"Курорт ""Пухтолово гора""","60.231997,29.685188","Черная речка, пр.Просвещения, Парнас",Курортный,8 (812) 715-06-00,https://www.puhgora.spb.ru/ https://www.instagram.com/puhtolova.gora/,Работа объекта приостановлена до ноября 2024 г,"СР, ЧТ 15:00-21:00, ПТ 15:00-22:00, СБ 10:00-22:00, ВС10:00-21:00",день,открытый,платно,Нарушение слуха Нарушение зрения Тотальная слепота Поражение верхних конечностей Интеллектуальные нарушения,True,True,True,True,True,прокат инвентаря,да
11.001,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Московский пр.,  д.134, лит.А","Московский пр., уч. 2 сев.-вост. д.134, лит.А","59.887711,30.320378",Московские ворота,Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.002,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, ул. Пилотов, д.20, корп. 2","ул. Пилотов, участок 1 западнее д.20, корп. 2, лит. И","59.81022,30.29845",Московская,Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.003,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Новоизмайловский пр., дом 38, корпус 4","Новоизмайловский пр., участок 1, (южнее дома 38, корпус 4)","59.856835,30.309319","Московская, площадь Конституции",Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.004,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Алтайская ул., (южнее дома 17)","Алтайская ул., южнее дома 17","59.846842,30.327177",Московская,Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.005,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Яковлевский переулок, дом 6","Яковлевский переулок, южнее дома 6","59.873631,30.32367",Парк Победы,Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.006,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Краснопутиловская ул, дом 78","Краснопутиловская ул, участок 1, (сев-вост дома 78)","59.856008,30.300938","Московская, площадь Конституции",Московский,241-34-74,https://sport-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
11.007,"СПб ГБУ ""ЦФКСиЗ Московского района"" Ледовая Арена","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Космонавтов пр., д. 47","Космонавтов пр., д. 47","59.850349,30.351998","Московская, Звездная",Московский,378-25-11,https://cfk-mosk.ru/,Работающий,08.00-22.00,День,Закрытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,True,True,True,True,,Имеется
11.008,"""Парк Победы""","Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Московский пр., д. 188","Московский пр., д. 188","59.866319,30.321986","Электросила, Московская",Московский,369-62-82,https://www.gupmpp.ru,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,True,True,True,,Имеется
11.009,"СПб ГБУ ""ЦФКСиЗ Московского района"" Ледовая Арена",Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, Космонавтов пр., д. 47","Космонавтов пр., д. 47","59.850349,30.351998","Московская, Звездная",Московский,378-25-11,https://cfk-mosk.ru/,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
11.010,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)",Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, Московский пр., д. 188","Московский пр., д. 188","59.866319,30.321986","Парк Победы, Электросила",Московский,241-34-74,https://www.gupmpp.ru,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
11.011,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)",Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, Московское ш., д. 2","Парк Городов-Героев Пулковское ш., Московское ш","59.838372,30.32601","Московская, Звездная",Московский,241-34-74,https://www.sppmsk.ru,Работа объекта приостановлена до ноября 2024,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
11.012,"СПб ГБУ ""Спортивный центр ""Физкультура и здоровье"" (внутридворовая спортивная площадка)",Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, Кубинская ул., д.21","Парк Авиаторов, Кубинская ул., д.21","59.867913,30.30092","Парк Победы, Электросила",Московский,241-34-74,https://www.sppmsk.ru,Работа объекта приостановлена до ноября 2024,08.00-22.01,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
13.001,СПб ГБУ «ЦФКСиЗ Петроградского района»,"Хоккей, фигурное катание",Каток,"Санкт-Петербург, улица Куйбышева, дом 33\8, литера А",,"59.95734,30.33466","Ст. м. Горьковская; остановка общественного транспорта ул. Чапаева, д. 29",Петроградский,576-51-12,Cfszpr.ru. https://vk.com/cfszpr,Временно приостановлено посещение,10.00-22.00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,Нет,Внутридворовое
13.002,СПб ГБУ «ЦФКСиЗ Петроградского района»,"Хоккей, фигурное катание",Каток,"Санкт-Петербург, улица Рентгена, дом 6, литера А",Спортивная площадка в сквере Низами,"59.96439,30.31613","Ст. м. Петроградская; остановка общественного транспорта Каменноостровский пр., д.21",Петроградский,576-51-12,Cfszpr.ru. https://vk.com/cfszpr,Временно приостановлено посещение,11.00-21.00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,Нет,Да
